Mod:Item:MetaData, Localized Name
hbm:tile.barricade, 沙袋
hbm:tile.machine_turbofan, 涡扇发动机
hbm:tile.machine_turbinegas, 联合循环燃气轮机
hbm:tile.machine_lpw2, LPW-2空间站推进器
hbm:tile.machine_htr3, LPW-3N空间站推进器
hbm:tile.machine_htrf4, HTR-F4空间站推进器
hbm:tile.machine_xenon_thruster, 氙气空间站推进器
hbm:tile.machine_magma, Magma Drill
hbm:tile.machine_schrabidium_transmutator, Sa326嬗变装置
hbm:tile.machine_discharger, 物质放电器
hbm:tile.machine_teleporter, 传送机
hbm:tile.teleanchor, 传送锚
hbm:tile.field_disturber, 高能场干扰机
hbm:tile.troll_disturber, tile.troll_disturber.name
hbm:tile.machine_satlinker, 卫星ID管理器
hbm:tile.machine_keyforge, 锁匠桌
hbm:tile.machine_armor_table, 装甲改装台
hbm:tile.machine_forcefield, 力场发生器
hbm:tile.radiorec, 坏掉的收音机
hbm:tile.radiobox, 无线怪物清除箱
hbm:tile.struct_launcher, 发射台部件
hbm:tile.struct_scaffold, 发射台骨架
hbm:tile.struct_launcher_core, 紧凑型发射台核心组件
hbm:tile.struct_launcher_core_large, 发射台核心组件
hbm:tile.struct_soyuz_core, 联盟号发射器核心组件
hbm:tile.struct_iter_core, 聚变反应堆核心组件
hbm:tile.struct_plasma_core, 等离子加热器核心组件
hbm:tile.struct_watz_core, Watz发电厂核心组件
hbm:tile.struct_icf_core, ICF反应堆核心组件
hbm:tile.absorber, 辐射吸收器
hbm:tile.absorber_red, 增强型辐射吸收器
hbm:tile.absorber_green, 高级辐射吸收器
hbm:tile.absorber_pink, 精英辐射吸收器
hbm:tile.decon, 玩家去污器
hbm:tile.transission_hatch, tile.transission_hatch.name
hbm:tile.machine_solar_boiler, 太阳能锅炉
hbm:tile.solar_mirror, 定日镜
hbm:tile.factory_titanium_hull, 工厂外壳
hbm:tile.factory_advanced_hull, 高级工厂外壳
hbm:tile.cm_block:0, 钢制机器外壳
hbm:tile.cm_block:1, 高级合金机器外壳
hbm:tile.cm_block:2, Desh机器外壳
hbm:tile.cm_block:3, 锝钢机器外壳
hbm:tile.cm_sheet:0, 钢建筑板
hbm:tile.cm_sheet:1, 高级合金建筑板
hbm:tile.cm_sheet:2, Desh建筑板
hbm:tile.cm_sheet:3, 锝钢建筑板
hbm:tile.cm_engine:0, 电机组
hbm:tile.cm_engine:1, Desh电机组
hbm:tile.cm_engine:2, 铋电机组
hbm:tile.cm_tank:0, 钢制储罐
hbm:tile.cm_tank:1, 高级合金储罐
hbm:tile.cm_tank:2, Desh储罐
hbm:tile.cm_tank:3, 锝钢储罐
hbm:tile.cm_circuit:0, 一级电路块
hbm:tile.cm_circuit:1, 二级电路块
hbm:tile.cm_circuit:2, 三级电路块
hbm:tile.cm_circuit:3, 四级电路块
hbm:tile.cm_circuit:4, 五级电路块
hbm:tile.cm_port:0, 钢制端口
hbm:tile.cm_port:1, 高级合金端口
hbm:tile.cm_port:2, Desh端口
hbm:tile.cm_port:3, 锝钢端口
hbm:tile.cm_flux, 中子接收器
hbm:tile.cm_heat, 热量接收器
hbm:tile.custom_machine_anchor, 自定义机器结构定位锚
hbm:tile.pwr_fuel, PWR燃料棒
hbm:tile.pwr_control, PWR控制棒
hbm:tile.pwr_channel, PWR冷却剂通道
hbm:tile.pwr_heatex, PWR换热器
hbm:tile.pwr_heatsink, PWR热容器
hbm:tile.pwr_neutron_source, PWR中子源
hbm:tile.pwr_reflector, PWR中子反射器
hbm:tile.pwr_casing, PWR压力容器
hbm:tile.pwr_port, PWR接入端口
hbm:tile.pwr_controller, PWR控制器
hbm:tile.pwr_block, PWR压水反应堆
hbm:tile.fusion_conductor:0, 超导磁体
hbm:tile.fusion_conductor:1, 超导磁体（焊接）
hbm:tile.fusion_center, 中心磁铁
hbm:tile.fusion_motor, 磁体马达
hbm:tile.fusion_heater, 等离子加热器
hbm:tile.fusion_hatch, 聚变反应堆端口
hbm:tile.plasma, 等离子
hbm:tile.iter, 聚变反应堆
hbm:tile.plasma_heater, 等离子加热器
hbm:tile.watz_element, Watz反应室
hbm:tile.watz_cooler, Watz反应堆高效冷却器
hbm:tile.watz_end:0, Watz反应堆稳定元件
hbm:tile.watz_end:1, Watz反应堆稳定元件（铆接）
hbm:tile.watz, Watz发电厂
hbm:tile.watz_pump, Watz压力泵
hbm:tile.machine_icf_press, ICF燃料靶丸制造器
hbm:tile.icf_laser_component:0, ICF激光器外壳
hbm:tile.icf_laser_component:1, ICF激光器端口
hbm:tile.icf_laser_component:2, ICF激光器单元
hbm:tile.icf_laser_component:3, ICF激光器闪光管
hbm:tile.icf_laser_component:4, ICF激光器电容
hbm:tile.icf_laser_component:5, ICF激光器涡轮增压器
hbm:tile.icf_controller, ICF激光器控制器
hbm:tile.icf_block, ICF激光器
hbm:tile.icf_component:0, ICF稳定元件
hbm:tile.icf_component:1, ICF密封容器壁
hbm:tile.icf_component:2, ICF密封容器壁（焊接）
hbm:tile.icf_component:3, ICF外壳
hbm:tile.icf_component:4, ICF外壳（铆接）
hbm:tile.icf, 惯性约束聚变反应堆(ICF)
hbm:tile.balefire, tile.balefire.name
hbm:tile.fire_digamma, 挥之不去的迪伽马之火
hbm:tile.digamma_matter, tile.digamma_matter.name
hbm:tile.volcano_core:0, 火山核心
hbm:tile.volcano_core:1, 火山核心
hbm:tile.volcano_core:2, 火山核心
hbm:tile.volcano_core:3, 火山核心
hbm:tile.volcano_core:4, 火山核心
hbm:tile.volcano_rad_core:0, 放射性火山核心
hbm:tile.volcano_rad_core:1, 放射性火山核心
hbm:tile.volcano_rad_core:2, 放射性火山核心
hbm:tile.volcano_rad_core:3, 放射性火山核心
hbm:tile.volcano_rad_core:4, 放射性火山核心
hbm:tile.dfc_emitter, DFC发射器
hbm:tile.dfc_injector, DFC燃料喷射器
hbm:tile.dfc_receiver, DFC接收器
hbm:tile.dfc_stabilizer, DFC稳定器
hbm:tile.dfc_core, 暗核聚变堆核心
hbm:tile.machine_missile_assembly, 导弹装配台
hbm:tile.machine_rocket_assembly, 火箭装配基地
hbm:tile.launch_pad, 导弹发射台
hbm:tile.launch_pad_rocket, 火箭发射台
hbm:tile.launch_pad_rusted, 锈迹斑斑的发射台
hbm:tile.launch_pad_large, 发射台
hbm:tile.compact_launcher, 紧凑型发射台
hbm:tile.launch_table, 大型发射台
hbm:tile.soyuz_launcher, 联盟号发射平台
hbm:tile.sat_dock, 卸货平台
hbm:tile.soyuz_capsule, 货物着陆舱
hbm:tile.crate_supply, tile.crate_supply.name
hbm:tile.machine_radar, 雷达
hbm:tile.machine_radar_large, 大型雷达
hbm:tile.radar_screen, 雷达显示屏
hbm:tile.gas_dock, 气体巨行星大气采集器
hbm:tile.book_guide, HBM的核科技mod手册[遗留]
hbm:tile.sat_mapper, 地表测绘卫星[装饰块]
hbm:tile.sat_scanner, 绘测和资源探测卫星[装饰块]
hbm:tile.sat_radar, 雷达探测卫星[装饰块]
hbm:tile.sat_laser, 轨道死光炮[装饰块]
hbm:tile.sat_foeq, 实验型核能PEAF-Mk.I FOEQ Duna探测器[装饰块]
hbm:tile.sat_resonator, X晶体共振卫星[装饰块]
hbm:tile.rail_wood, 木制轨道
hbm:tile.rail_narrow, 窄轨距轨道
hbm:tile.rail_highspeed, 高速轨道
hbm:tile.rail_booster, 高速动力轨道
hbm:tile.rail_narrow_straight, tile.rail_narrow_straight.name
hbm:tile.rail_narrow_curve, tile.rail_narrow_curve.name
hbm:tile.rail_large_straight, 标准轨距铁轨(5m)
hbm:tile.rail_large_straight_short, 标准轨距铁轨(1m)
hbm:tile.rail_large_curve, 标准轨距弯曲轨道(5m)
hbm:tile.rail_large_curve_7, 标准轨距弯曲轨道(7m)
hbm:tile.rail_large_curve_9, 标准轨距弯曲轨道(9m)
hbm:tile.rail_large_ramp, 标准轨距坡道铁轨(5m)
hbm:tile.rail_large_buffer, 标准轨距缓冲停止轨道(5m)
hbm:tile.rail_large_switch, 标准轨距铁路道岔(15m 左转)
hbm:tile.rail_large_switch_flipped, 标准轨距铁路道岔(15m 右转)
hbm:tile.crate, 补给箱
hbm:tile.crate_weapon, 武器补给箱
hbm:tile.crate_lead, 危险品补给箱
hbm:tile.crate_metal, 机器补给箱
hbm:tile.crate_red, 红色补给箱
hbm:tile.crate_can, 罐头补给箱
hbm:tile.crate_ammo, 星辉补给箱
hbm:tile.crate_jungle, 硫砷钢箱
hbm:tile.#undef, tile.#undef.name
hbm:tile.mud_block, 毒泥
hbm:tile.acid_block, 酸
hbm:tile.toxic_block, 绿色软泥
hbm:tile.schrabidic_block, Sa酸
hbm:tile.corium_block, 堆芯熔融物
hbm:tile.volcanic_lava_block, 火山熔岩
hbm:tile.rad_lava_block, 放射性火山熔岩
hbm:tile.sulfuric_acid_block, 硫酸
hbm:tile.mercury_block, 水银
hbm:tile.bromine_block, 烷基溴
hbm:tile.flesh_block, tile.flesh_block.name
hbm:tile.charred_flesh_block, tile.charred_flesh_block.name
hbm:tile.carbonized_flesh_block, tile.carbonized_flesh_block.name
hbm:tile.dummy_block_vault, tile.dummy_block_vault.name
hbm:tile.dummy_block_blast, tile.dummy_block_blast.name
hbm:tile.dummy_plate_compact_launcher, tile.dummy_plate_compact_launcher.name
hbm:tile.dummy_port_compact_launcher, tile.dummy_port_compact_launcher.name
hbm:tile.dummy_plate_launch_table, tile.dummy_plate_launch_table.name
hbm:tile.dummy_port_launch_table, tile.dummy_port_launch_table.name
hbm:tile.dummy_plate_cargo, tile.dummy_plate_cargo.name
hbm:tile.oil_pipe, 原油抽取管
hbm:tile.vent_chlorine, 氯气排气口
hbm:tile.vent_cloud, 云排气口
hbm:tile.vent_pink_cloud, 粉雾排气口
hbm:tile.vent_chlorine_seal, 氯气容器
hbm:tile.chlorine_gas, 氯气
hbm:tile.gas_radon, 氡气
hbm:tile.gas_radon_dense, 高浓度氡气
hbm:tile.gas_radon_tomb, 古墓气体
hbm:tile.gas_meltdown, 熔毁气体
hbm:tile.gas_monoxide, 一氧化碳
hbm:tile.gas_asbestos, 石棉粉尘
hbm:tile.gas_coal, 空气中的煤尘
hbm:tile.gas_flammable, 可燃气体
hbm:tile.gas_explosive, 爆炸性气体
hbm:tile.vacuum, 真空
hbm:tile.air_vent, 通风口
hbm:tile.air_scrubber, 二氧化碳洗涤器
hbm:tile.algae_film, 微重力藻类透膜过滤器
hbm:tile.crystal_virus, 黑水晶
hbm:tile.crystal_hardened, 硬化黑水晶
hbm:tile.crystal_pulsar, 脉动水晶
hbm:tile.taint:0, 腐质
hbm:tile.taint:1, 腐质
hbm:tile.taint:2, 腐质
hbm:tile.taint:3, 腐质
hbm:tile.taint:4, 腐质
hbm:tile.taint:5, 腐质
hbm:tile.taint:6, 腐质
hbm:tile.taint:7, 腐质
hbm:tile.taint:8, 腐质
hbm:tile.taint:9, 腐质
hbm:tile.taint:10, 腐质
hbm:tile.taint:11, 腐质
hbm:tile.taint:12, 腐质
hbm:tile.taint:13, 腐质
hbm:tile.taint:14, 腐质
hbm:tile.taint:15, 腐质
hbm:tile.cheater_virus, 冻结Ep
hbm:tile.cheater_virus_seed, 不稳定Ep Schrabide块
hbm:tile.ntm_dirt, 泥土
hbm:tile.pink_log, 粉色原木
hbm:tile.pink_planks, 粉色木板
hbm:tile.pink_slab, 粉色木半砖
hbm:tile.pink_double_slab, tile.pink_double_slab.name
hbm:tile.pink_stairs, 粉色木台阶
hbm:tile.atmosphere_editor, 大气编辑器
hbm:tile.transporter_rocket, 火箭运输平台
hbm:tile.orbital_station, 轨道空间站核心
hbm:tile.orbital_station_port, 轨道空间站接口
hbm:tile.orbital_station_computer, 轨道空间站电脑
hbm:tile.propulsion_creative, 创造模式空间站推进器
hbm:tile.dyson_launcher, Dyson Spinlauncher
hbm:tile.dyson_receiver, Dyson Receiver
hbm:tile.dyson_converter_tu, Dyson Heat Converter
hbm:tile.dyson_converter_he, Dyson Power Converter
hbm:tile.dyson_converter_anatmogenesis, Dyson Anatmogenesis Terraformer
hbm:tile.wand_air, 结构魔杖方块（空气）
hbm:tile.wand_loot, 结构魔杖方块（战利品）
hbm:tile.wand_jigsaw, 结构魔杖方块（拼图）
immersivecavegen:GlowLily, Glowing Waterlily
immersivecavegen:GlowLilyBlue, Glowing Waterlily
immersivecavegen:CeilingVine, Ceiling Vines
immersivecavegen:ScorchedStone, Scorched Stone
immersivecavegen:ScorchedLavaStone, Scorched Lava Stone
immersivecavegen:StoneStalactite:0, Stone Pillar
immersivecavegen:StoneStalactite:1, Stone Stalactite
immersivecavegen:StoneStalactite:2, Stone Stalactite
immersivecavegen:StoneStalactite:3, Stone Stalactite
immersivecavegen:StoneStalactite:4, Stone Pillar
immersivecavegen:StoneStalactite:5, Stone Pillar
immersivecavegen:StoneStalactite:6, Stone Stalagmite
immersivecavegen:StoneStalactite:7, Stone Stalactite
immersivecavegen:StoneStalactite:8, Stone Stalagmite
immersivecavegen:StoneStalactite:9, Stone Stalagmite
immersivecavegen:StoneStalactite:10, Stone Stalagmite
immersivecavegen:StoneStalactite:11, Stone Stalactite
immersivecavegen:StoneStalactite:12, Stone Stalagmite
immersivecavegen:NetherStalactite:0, Lava Pillar
immersivecavegen:NetherStalactite:1, Lava Stalactite
immersivecavegen:NetherStalactite:2, Lava Stalactite
immersivecavegen:NetherStalactite:3, Lava Stalactite
immersivecavegen:NetherStalactite:4, Lava Pillar
immersivecavegen:NetherStalactite:5, Lava Pillar
immersivecavegen:NetherStalactite:6, Lava Stalagmite
immersivecavegen:NetherStalactite:7, Lava Stalactite
immersivecavegen:NetherStalactite:8, Lava Stalagmite
immersivecavegen:NetherStalactite:9, Lava Stalagmite
immersivecavegen:NetherStalactite:10, Lava Stalagmite
immersivecavegen:NetherStalactite:11, Lava Stalactite
immersivecavegen:NetherStalactite:12, Lava Stalagmite
immersivecavegen:DeepslateStalactite:0, Deepslate Pillar
immersivecavegen:DeepslateStalactite:1, Deepslate Stalactite
immersivecavegen:DeepslateStalactite:2, Deepslate Stalactite
immersivecavegen:DeepslateStalactite:3, Deepslate Stalactite
immersivecavegen:DeepslateStalactite:4, Deepslate Pillar
immersivecavegen:DeepslateStalactite:5, Deepslate Pillar
immersivecavegen:DeepslateStalactite:6, Deepslate Stalagmite
immersivecavegen:DeepslateStalactite:7, Deepslate Stalactite
immersivecavegen:DeepslateStalactite:8, Deepslate Stalagmite
immersivecavegen:DeepslateStalactite:9, Deepslate Stalagmite
immersivecavegen:DeepslateStalactite:10, Deepslate Stalagmite
immersivecavegen:DeepslateStalactite:11, Deepslate Stalactite
immersivecavegen:DeepslateStalactite:12, Deepslate Stalagmite
immersivecavegen:SandstoneSalactite:0, Sand Pillar
immersivecavegen:SandstoneSalactite:1, Sand Stalactite
immersivecavegen:SandstoneSalactite:2, Sand Stalactite
immersivecavegen:SandstoneSalactite:3, Sand Stalactite
immersivecavegen:SandstoneSalactite:4, Sand Pillar
immersivecavegen:SandstoneSalactite:5, Sand Pillar
immersivecavegen:SandstoneSalactite:6, Sand Stalagmite
immersivecavegen:SandstoneSalactite:7, Sand Stalactite
immersivecavegen:SandstoneSalactite:8, Sand Stalagmite
immersivecavegen:SandstoneSalactite:9, Sand Stalagmite
immersivecavegen:SandstoneSalactite:10, Sand Stalagmite
immersivecavegen:SandstoneSalactite:11, Sand Stalactite
immersivecavegen:SandstoneSalactite:12, Sand Stalagmite
immersivecavegen:iceStalactite:0, Ice Stalactite
immersivecavegen:iceStalactite:1, Ice Stalactite
immersivecavegen:iceStalactite:2, Ice Stalactite
immersivecavegen:cavePlant:0, Dead Shrub
immersivecavegen:cavePlant:1, Dead Shrub
immersivecavegen:cavePlant:2, Glowing Mushroom
immersivecavegen:cavePlant:3, Glowing Mushroom
immersivecavegen:cavePlant:4, Frost Mushroom
immersivecavegen:cavePlant:5, Frost Mushroom
immersivecavegen:cavePlant:6, Fiery Flower
immersivecavegen:cavePlant:7, Fiery Flower
immersivecavegen:glowMushroomBlue, 蘑菇
immersivecavegen:glowMushroomGreen, 蘑菇
immersiveintegration:extendablePost, 可拓展木桩
immersiveintegration:steelTrapdoor, 钢质活板门
immersiveintegration:steelDecoration:0, 焦炉墙
immersiveintegration:steelDecoration:1, 焦炉加热墙
immersiveintegration:steelDecoration:2, 焦炉接口
immersiveintegration:extendedPost, 拓展木桩
immersiveintegration:industrialCokeOven, 工业焦炉
immersiveintegration:itemRobin, 物品调度仓
immersiveintegration:inductionCharger:0, 低压感应充能器
immersiveintegration:inductionCharger:1, 中压感应充能器
immersiveintegration:inductionCharger:2, 高压感应充能器
immersiveintegration:redstoneWireConnector, 红石接线器
immersiveintegration:meWireConnector, ME接线器
immersiveintegration:meDenseWireConnector, ME致密接线器
immersiveintegration:meTransformer, ME转接器
immersiveintegration:meDenseTransformer, ME致密转接器
immersiveintegration:aeDecoration:0, 福鲁伊克斯线圈
immersiveintegration:aeDecoration:1, 致密线圈
MoCreatures:MoCStone:0, 翼龙巢穴石块
MoCreatures:MoCStone:1, 食人魔巢穴石块
MoCreatures:MoCGrass:0, 翼龙巢穴草地
MoCreatures:MoCGrass:1, 食人魔巢穴草地
MoCreatures:MoCDirt:0, 翼龙巢穴泥土
MoCreatures:MoCDirt:1, 食人魔巢穴泥土
MoCreatures:MoCLeaves:0, 翼龙巢穴树叶
MoCreatures:MoCLeaves:1, 食人魔巢穴树叶
MoCreatures:MoCLog:0, 翼龙巢穴原木
MoCreatures:MoCLog:1, 食人魔巢穴原木
MoCreatures:MoCTallGrass:0, 翼龙巢穴高草
MoCreatures:MoCTallGrass:1, 食人魔巢穴高草
MoCreatures:MoCWoodPlank:0, 翼龙巢穴木板
MoCreatures:MoCWoodPlank:1, 食人魔巢穴木板
MFQM:Mud:0, 泥巴
MFQM:Mud:1, 泥巴
MFQM:Mud:2, 泥巴
MFQM:Mud:3, 泥巴
MFQM:Bog, 沼泽
MFQM:SoftSnow:0, tile.SoftSnow0.name
MFQM:SoftSnow:1, tile.SoftSnow1.name
MFQM:DryQuicksand, 干流沙
MFQM:SoftQuicksand, 松软流沙
MFQM:Morass:0, 长草泥潭
MFQM:WetPeat, 湿泥潭块
MFQM:HPeat, 泥炭
MFQM:BrownClay:0, 棕色黏泥
MFQM:BrownClay:4, 矿物粘泥
MFQM:Wax, 蜡
MFQM:Quicksand, 流沙
MFQM:JungleQuicksand, 丛林流沙
MFQM:LiquidMire0, 液态泥潭
MFQM:LiquidMire1, 液态泥潭
MFQM:SinkingSlime, 液态的史莱姆
MFQM:Mucus, 粘液
MFQM:Mire, 泥潭块
MFQM:Moor, 临时泥潭构造器
MFQM:HardenedClay, 硬化黏土
MFQM:SinkingClay, 陷阱黏土
MFQM:TangleRootMoss, 缠根苔藓
MFQM:DenseWebbing, 密集蜘蛛网
MFQM:Tar, 焦油
MFQM:Larvae, 幼虫堆
MFQM:CorruptedSand, 灵魂流沙
MFQM:SwallowingFlesh, 吞噬肉
MFQM:Acid, 酸
MFQM:Slurry, 毒泥浆
MFQM:Gas, 有毒气体
MFQM:SoftGravel:0, 松软砂砾
MFQM:SoftGravel:1, 淤泥块
MFQM:Honey, 蜂蜜
MFQM:SolidHoney, 固体蜂蜜
MFQM:Honeycomb:0, 蜂巢
MFQM:Honeycomb:1, 空的蜂巢
MFQM:Honeycomb:2, 被填满的蜂巢
MFQM:LiquidChocolate, 液态巧克力
MFQM:ChocolateBlock, 巧克力方块
MFQM:SinkingRug:0, 地毯流沙
MFQM:SinkingRug:1, 地毯流沙
MFQM:SinkingRug:2, 地毯流沙
MFQM:SinkingRug:3, 地毯流沙
MFQM:SinkingRug:4, 地毯流沙
MFQM:SinkingRug:5, 地毯流沙
MFQM:SinkingRug:6, 地毯流沙
MFQM:SinkingRug:7, 地毯流沙
MFQM:SinkingRug:8, 地毯流沙
MFQM:SinkingRug:9, 地毯流沙
MFQM:SinkingRug:10, 地毯流沙
MFQM:SinkingRug:11, 地毯流沙
MFQM:SinkingRug:12, 地毯流沙
MFQM:SinkingRug:13, 地毯流沙
MFQM:SinkingRug:14, 地毯流沙
MFQM:SinkingRug:15, 地毯流沙
MFQM:LureBlock, 粘液花气味体
MFQM:BlossomBlock:0, 粘液花墙
MFQM:BlossomBlock:1, 粘液花墙
MFQM:BlossomBlock:2, 粘液花墙
MFQM:BlossomBlock:3, 粘液花墙
MFQM:BlossomBlock:4, 粘液花墙
MFQM:BlossomBlock:5, 粘液花墙
MFQM:BlossomBlock:6, 粘液花墙
MFQM:BlossomBlock:7, 粘液花墙
MFQM:BlossomBlock:8, 粘液花墙
MFQM:BlossomBlock:9, 粘液花墙
MFQM:BlossomBlock:10, 粘液花墙
MFQM:BlossomBlock:11, 粘液花墙
MFQM:BlossomBlockSlab:0, 粘液花墙
MFQM:BlossomBlockSlab:1, 粘液花墙
MFQM:BlossomBlockSlab:2, 粘液花墙
MFQM:BlossomBlockSlab:3, 粘液花墙
MFQM:BlossomBlockSlab:4, 粘液花墙
MFQM:BlossomBlockSlab:5, 粘液花墙
MFQM:TempVore, 临时吞噬洞
MFQM:MeatWall:0, 肉块
MFQM:MeatWall:1, 肉墙底部
MFQM:MeatWall:2, 肉墙角
MFQM:MeatWall:3, 肉墙角
MFQM:MeatWall:4, 肉墙角
MFQM:MeatWall:5, 肉墙角
MFQM:MeatWall:6, 肉墙壁
MFQM:MeatWall:7, 肉墙壁
MFQM:MeatWall:8, 肉墙壁
MFQM:MeatWall:9, 肉墙壁
MFQM:MeatWall:10, 肉墙腺
MFQM:TempMeat, 临时肉
MFQM:WaxWood:0, 蜡丛林木
MFQM:WaxWood:4, 蜡丛林木
MFQM:CustomLilyPad, 泥潭睡莲
MFQM:MoorGrass:0, 泥潭草
MFQM:Tendrils:0, 卷须
MFQM:LeavesPile, 落叶堆
netherlicious:CrimsonNylium:0, 绯红菌岩
netherlicious:WarpedNylium:0, 诡异菌岩
netherlicious:FoxfireNylium:0, 狐火菌岩
netherlicious:SoulSoil:0, 灵魂土
netherlicious:SoulSoil:1, 灵魂土
netherlicious:SoulSoil:2, 灵魂土
netherlicious:SoulSoil:3, 灵魂土
netherlicious:SoulSoil:4, 灵魂土
netherlicious:SoulSoil:5, 灵魂土
netherlicious:SoulFarmland, 灵魂农田
netherlicious:Basalt:0, 玄武岩
netherlicious:Basalt:1, 磨制玄武岩
netherlicious:BasaltBricks:0, 玄武岩砖
netherlicious:BasaltBricks:1, 裂纹玄武岩砖
netherlicious:BasaltBricks:2, 錾制玄武岩砖
netherlicious:BasaltBricks:3, 磨制玄武岩砖
netherlicious:BasaltBricks:4, 裂纹磨制玄武岩砖
netherlicious:BasaltBricks:5, 錾制磨制玄武岩砖
netherlicious:BasaltBricks:6, 平滑玄武岩
netherlicious:BasaltBricks:7, 平滑磨制玄武岩
netherlicious:Blackstone:0, 黑石
netherlicious:Blackstone:1, 磨制黑石
netherlicious:Blackstone:2, 錾制磨制黑石
netherlicious:Blackstone:3, 磨制黑石砖
netherlicious:Blackstone:4, 裂纹磨制黑石砖
netherlicious:Blackstone:5, 镶金黑石
netherlicious:Blackstone:6, 黑石瓷砖
netherlicious:Blackstone:7, 黑石十字座
netherlicious:Blackstone:8, 黑石径
netherlicious:Nether_Gravel:0, 下界沙砾
netherlicious:Ash, 灰烬方块
netherlicious:SoulSandstone:0, 灵魂砂岩
netherlicious:SoulSandstone:1, 切制灵魂砂岩
netherlicious:SoulSandstone:2, 錾制灵魂砂岩
netherlicious:SoulSandstone:3, 平滑灵魂砂岩
netherlicious:Netherbricks:0, 裂纹地狱砖块
netherlicious:Netherbricks:1, 錾制地狱砖块
netherlicious:Netherbricks:2, 绯红地狱砖块
netherlicious:Netherbricks:3, 裂纹绯红地狱砖块
netherlicious:Netherbricks:4, 錾制绯红地狱砖块
netherlicious:Netherbricks:5, 诡异地狱砖块
netherlicious:Netherbricks:6, 裂纹诡异地狱砖块
netherlicious:Netherbricks:7, 錾制诡异地狱砖块
netherlicious:Netherbricks:8, 狐火地狱砖块
netherlicious:Netherbricks:9, 裂纹狐火地狱砖块
netherlicious:Netherbricks:10, 錾制狐火地狱砖块
netherlicious:NewNetherbrick1:0, 錾制平滑地狱砖
netherlicious:NewNetherbrick1:1, 侵蚀地狱砖
netherlicious:NewNetherbrick1:2, 地狱砖十字座
netherlicious:NewNetherbrick1:3, 平滑地狱砖
netherlicious:NewNetherbrick1:4, 地狱砖瓷砖
netherlicious:NewNetherbrick1:5, 錾制平滑绯红地狱砖
netherlicious:NewNetherbrick1:6, 侵蚀绯红地狱砖
netherlicious:NewNetherbrick1:7, 绯红地狱砖十字座
netherlicious:NewNetherbrick1:8, 平滑绯红地狱砖
netherlicious:NewNetherbrick1:9, 绯红地狱砖瓷砖
netherlicious:NewNetherbrick1:10, 錾制平滑诡异地狱砖
netherlicious:NewNetherbrick1:11, 侵蚀诡异地狱砖
netherlicious:NewNetherbrick1:12, 诡异地狱砖十字座
netherlicious:NewNetherbrick1:13, 平滑诡异地狱砖
netherlicious:NewNetherbrick1:14, 诡异地狱砖瓷砖
netherlicious:NewNetherbrick2:0, 錾制平滑狐火地狱砖
netherlicious:NewNetherbrick2:1, 侵蚀狐火地狱砖
netherlicious:NewNetherbrick2:2, 狐火地狱砖十字座
netherlicious:NewNetherbrick2:3, 平滑狐火地狱砖
netherlicious:NewNetherbrick2:4, 狐火地狱砖瓷砖
netherlicious:NewNetherbrick2:5, 黑色地狱砖
netherlicious:NewNetherbrick2:6, 裂纹黑色地狱砖
netherlicious:NewNetherbrick2:7, 錾制黑色地狱砖
netherlicious:NewNetherbrick2:8, 平滑錾制黑色地狱砖
netherlicious:NewNetherbrick2:9, 侵蚀黑色地狱砖
netherlicious:NewNetherbrick2:10, 黑色地狱砖十字座
netherlicious:NewNetherbrick2:11, 平滑黑色地狱砖
netherlicious:NewNetherbrick2:12, 黑色地狱砖瓷砖
netherlicious:QuartzBricks:0, 石英砖
netherlicious:QuartzBricks:1, 平滑石英块
netherlicious:QuartzBricks:2, 虚空石英块
netherlicious:QuartzBricks:3, 錾制虚空石英块
netherlicious:QuartzBricks:4, 虚空石英砖
netherlicious:QuartzBricks:5, 平滑虚空石英块
netherlicious:QuartzPillar:0, 錾制石英柱
netherlicious:QuartzPillar:1, 虚空石英柱
netherlicious:QuartzPillar:2, 錾制虚空石英柱
netherlicious:CryingBlackstone, 哭泣的黑石
netherlicious:BoneBlock:0, 骨块
netherlicious:BoneBlock:1, 侵蚀骨块
netherlicious:Gloomstone, 阴郁荧石
netherlicious:NetherGoldOre, 下界金矿
netherlicious:NetherIronOre, 下界铁矿
netherlicious:EfrineOre:0, 绿晶矿
netherlicious:VoidQuartzOre:0, 虚空石英矿
netherlicious:VoidQuartzOre:1, 下界虚空石英矿
netherlicious:EfrineBlock:0, 绿晶块
netherlicious:MagmaBlock:0, 熔岩黑石
netherlicious:MagmaBlock:1, 岩浆块
netherlicious:ShroomLight:0, 菌光体
netherlicious:ShroomLight:1, tile.ShroomLight_fragrant.name
netherlicious:Wartblock:0, 地狱疣块
netherlicious:Wartblock:1, 诡异疣块
netherlicious:Wartblock:2, 狐火疣块
netherlicious:Wartblock:3, 地狱疣方块
netherlicious:Wartblock:4, tile.Wartblock_fragrant.name
netherlicious:SporeCushion:0, 绯红孢子缓冲垫
netherlicious:SporeCushion:1, 诡异孢子缓冲垫
netherlicious:SporeCushion:2, 狐火孢子缓冲垫
netherlicious:NetherCrystal:0, 白色下界水晶
netherlicious:NetherCrystal:1, 蓝色下界水晶
netherlicious:NetherCrystal:2, 绿色下界水晶
netherlicious:NetherCrystal:3, 黄色下界水晶
netherlicious:NetherCrystal:4, 品红色下界水晶
netherlicious:NetherCrystal:5, 萌芽的白色地狱水晶
netherlicious:NetherCrystal:6, 萌芽的蓝色地狱水晶
